articleID,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL,articleWordCount
5a72c58210f40f00018bee4f,By TIM HERRERA,article,Unknown,"['New Year', ""Valentine's Day""]",66,Smarter Living,0,2018-02-01 07:45:01,Unknown,We can stick it out together and keep each other accountable.,The New York Times,News,https://www.nytimes.com/2018/02/01/smarter-living/get-your-resolution-back-on-track.html,885
5a72c90510f40f00018bee56,By NATALIE PROULX,article,Real Friends vs. Facebook Friends,[],61,Learning,0,2018-02-01 08:00:00,Unknown,What is this image saying?,The New York Times,News,https://www.nytimes.com/2018/02/01/learning/real-friends-vs-facebook-friends.html,59
5a72c91a10f40f00018bee57,By ROD NORDLAND,article,"For Kurds and Allies in Syria, U.S. Vow of Support Eases Fears on Turkey","['Kurds', 'Syria', 'United States Defense and Military Forces', 'Turkey', 'Erdogan, Recep Tayyip', 'Islamic State in Iraq and Syria (ISIS)', 'North Atlantic Treaty Organization', 'Syrian Democratic Forces', 'Afrin (Syria)', 'Manbij (Syria)', 'Trump, Donald J', 'United States International Relations']",68,Foreign,7,2018-02-01 08:00:21,Middle East,"A reporter’s visit to the front line in Manbij, Syria, found that Kurdish rebels’ fears of a Turkish advance have been dispelled by American military assurances of support.",The New York Times,News,https://www.nytimes.com/2018/02/01/world/middleeast/syria-turkey-kurds-militias.html,1382
5a72e52810f40f00018bee93,By NATALIE PROULX,article,Should Schools Teach You How to Be Happy?,[],68,Learning,0,2018-02-01 10:00:01,Unknown,Or should they focus only on academics?,The New York Times,News,https://www.nytimes.com/2018/02/01/learning/should-schools-teach-you-how-to-be-happy.html,485
5a72e53f10f40f00018bee96,By DAVE ITZKOFF,article,"Jessica Williams and Phoebe Robinson, Onstage","['Podcasts', 'Actors and Actresses', 'Home Box Office', 'Robinson, Phoebe', 'Williams, Jessica (1989- )', '2 Dope Queens (Radio Program)']",66,Arts&Leisure,5,2018-02-01 10:00:19,Unknown,"Ms. Williams and Ms. Robinson, who are bringing their “2 Dope Queens” podcast to HBO, talk about hair budgets, meeting Bono and #MeToo.",The New York Times,News,https://www.nytimes.com/2018/02/01/arts/jessica-williams-and-phoebe-robinson-save-it-for-the-stage.html,1159
5a72e54210f40f00018bee9b,By DECLAN WALSH,article,Autocrats Steamroll Opponents With No Objections From U.S.,"['Trump, Donald J', 'United States International Relations', 'Human Rights and Human Rights Violations', 'Sisi, Abdel Fattah el-', 'Egypt', 'State Department', 'Tillerson, Rex W']",67,Foreign,1,2018-02-01 10:00:20,Middle East,"Across the world, autocratic leaders are engaging in increasingly brazen behavior as they dispense with even a fig leaf of democratic practice.",The New York Times,News,https://www.nytimes.com/2018/02/01/world/middleeast/trump-sisi-egypt-strongmen.html,1366
5a72e54510f40f00018bee9f,By NICHOLAS BAKALAR,article,32 Billion,"['Genetics and Heredity', 'Amphibians', 'Salamanders', 'Gettysburg College']",68,Science,3,2018-02-01 10:00:20,Unknown,"The Mexican salamander has largest genome ever sequenced, which may account for its unique regenerative abilities.",The New York Times,News,https://www.nytimes.com/2018/02/01/science/axolotl-genes-limbs.html,394
5a72e54010f40f00018bee99,By HENRY FOUNTAIN,article,A Volcanic Idea for Cooling the Earth,"['Volcanoes', 'Global Warming', 'Research', 'National Aeronautics and Space Administration', 'Balloons', 'Sulfur and Sulfur Compounds', 'Ozone']",64,Climate,3,2018-02-01 10:00:20,Unknown,"By studying the natural effects of a large volcanic eruption, scientists could learn about how we might deliberately cool the planet in the future.",The New York Times,News,https://www.nytimes.com/2018/02/01/climate/volcano-geoengineering.html,1024
5a72e54010f40f00018bee9a,"By LISA SANDERS, M.D",article,"After the man was treated for a bad infection, tests indicated he was getting better. So why was he feeling weaker by the day?","['Infections', 'Bacteria']",68,Magazine,24,2018-02-01 10:00:20,Unknown,"Normally a workhorse, he began feeling strangely exhausted. Then he ended up in the intensive-care unit.",The New York Times,News,https://www.nytimes.com/2018/02/01/magazine/tests-indicated-his-infection-was-getting-better-why-did-he-feel-worse.html,1407
5a72e54010f40f00018bee98,By ANEMONA HARTOCOLLIS,article,Republicans Pack Campus Social Agenda Into Broad Education Bill,"['Colleges and Universities', 'Law and Legislation', 'House of Representatives', 'Republican Party', 'Homosexuality and Bisexuality', 'Freedom of Religion', 'Freedom of Speech and Expression']",68,National,12,2018-02-01 10:00:21,Unknown,"The bill contains measures sought by religious schools and free-speech advocates, worrying some college administrators and gay-rights groups.",The New York Times,News,https://www.nytimes.com/2018/02/01/us/first-amendment-education-bill.html,1530
5a72e54710f40f00018beea0,By BEN SHPIGEL,article,The Greatest Plays You Don’t Remember,"['Football', 'Super Bowl', 'Fitzgerald, Larry', 'Proehl, Ricky', 'Kearse, Jermaine (1990- )', 'Moss, Randy']",68,Sports,1,2018-02-01 10:00:33,Pro Football,"There is an unusual club of receivers, including Larry Fitzgerald and Randy Moss, who made a stunning catch that briefly appeared to secure a championship. Here are memories of what almost was.",The New York Times,News,https://www.nytimes.com/2018/02/01/sports/football/super-bowl-heroes.html,3762
5a72e55410f40f00018beea2,By GIOVANNI RUSSONELLO,article,Unknown,"['Bee, Samantha', 'Ailes, Roger E', 'Carlson, Gretchen', 'Colbert, Stephen', 'Cruz, Ted', 'Kimmel, Jimmy', 'Noah, Trevor (1984- )', 'Meyers, Seth', 'Trump, Donald J', 'Full Frontal With Samantha Bee (TV Program)', 'Late Night with Seth Meyers (TV Program)', 'Late Show with Stephen Colbert (TV Program)', 'The Daily Show with Trevor Noah (TV Program)']",64,Culture,0,2018-02-01 10:00:48,Television,"Bee interviewed the former Fox News host Gretchen Carlson about so-called forced arbitration clauses, which can silence victims of sexual misconduct.",The New York Times,News,https://www.nytimes.com/2018/02/01/arts/television/samantha-bee-forced-arbitration-sexual-misconduct.html,591
5a72e74010f40f00018beea6,By HANNAH BEECH,article,Measuring the Damage of a False Narrative in a Refugee Camp,"['Rohingya (Ethnic Group)', 'Refugees and Displaced Persons', 'Humanitarian Aid', 'News and News Media', 'Bangladesh', 'Myanmar']",67,Foreign,9,2018-02-01 10:09:00,Asia Pacific,Genuine atrocities have turned them into refugees. But the blurring of fact and fiction in the camps risks undercutting their case against Myanmar.,The New York Times,News,https://www.nytimes.com/2018/02/01/world/asia/rohingya-myanmar-camps.html,1282
5a72ec3f10f40f00018beeae,By NATE COHN,article,"A ‘Blue’ Florida? For Democrats, No Quick Demographic Fixes","['Voter Registration and Requirements', 'Presidential Election of 2020', 'Ex-Convicts', 'United States Politics and Government', 'Florida', 'Democratic Party']",66,Upshot,20,2018-02-01 10:30:19,Unknown,Why a big influx of Puerto Ricans and the potential return of voting rights for felons aren’t as meaningful as some might assume for 2020. ,The New York Times,News,https://www.nytimes.com/2018/02/01/upshot/a-blue-florida-there-are-no-quick-demographic-fixes-for-democrats.html,1239
5a72efbc10f40f00018beebe,By BRET STEPHENS,article,Unknown,"['Clinton, Hillary Rodham', 'Trump, Donald J', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Appointments and Executive Changes', 'Comey, James B', 'Page, Carter', 'McCabe, Andrew G']",68,OpEd,0,2018-02-01 10:45:12,Unknown,Conservatives would be howling for impeachment if a Democratic president had behaved like Trump.,The New York Times,Op-Ed,https://www.nytimes.com/2018/02/01/opinion/clinton-trump-republicans-impeach.html,968
5a72efbf10f40f00018beec0,By EDWIN MOISE,article,The Tet Offensive Was Just the Beginning,"['Vietnam War', 'United States Defense and Military Forces', 'Westmoreland, William C', 'Vietnam']",68,OpEd,0,2018-02-01 10:45:13,Unknown,"The communist assault, 50 years ago this week, marked the start of the bloodiest year of the Vietnam War.",The New York Times,Op-Ed,https://www.nytimes.com/2018/02/01/opinion/vietnam-war-tet-offensive-start.html,1085
5a72efc010f40f00018beec1,By THOMAS B. EDSALL,article,Trump Has Got Democrats Right Where He Wants Them,"['Immigration and Emigration', 'Presidential Election of 2016', 'Dream Act (Development, Relief and Education for Minors Act)', 'Cato Institute', 'Congressional Hispanic Caucus', 'Democratic Party', 'Pew Research Center', 'Schumer, Charles E', 'Pelosi, Nancy', 'Miller, Stephen (1985- )', 'Trump, Donald J']",68,OpEd,0,2018-02-01 10:45:14,Unknown,"As far as the president’s immigration plan goes, they are damned if they do and damned if they don’t.",The New York Times,Op-Ed,https://www.nytimes.com/2018/02/01/opinion/trump-democrats-immigration.html,2708
5a72f33510f40f00018beecc,By NICHOLAS BAKALAR,article,Heart: Flu Elevates Risk of Heart Attack,"['Heart', 'Influenza']",60,Well,4,2018-02-01 11:00:01,Live,Researchers calculate that the risk of a heart attack in the week after getting the flu was more than six times as high as the risk in any other week.,The New York Times,News,https://www.nytimes.com/2018/02/01/well/live/for-7-days-after-flu-hits-heart-attack-risk-remains-high.html,210
5a72f34b10f40f00018beecd,By ALEXANDRA S. LEVINE,article,Unknown,['New York City'],66,Metro,0,2018-02-01 11:00:22,Unknown,"Thursday: Testing your New York knowledge, an emotional support peacock and the Empire State Winter Games.",The New York Times,briefing,https://www.nytimes.com/2018/02/01/nyregion/new-york-today-hq-trivia-scott-rogowsky.html,1031
5a72f83110f40f00018beedb,By MICHAEL BARBARO,article,Unknown,"['Nunes, Devin G', 'Mueller, Robert S III', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Trump, Donald J', 'Classified Information and State Secrets', 'Special Prosecutors (Independent Counsel)', 'United States Politics and Government', 'Federal Bureau of Investigation', 'Republican Party']",68,Podcasts,0,2018-02-01 11:21:16,The Daily,Republicans say they only want to make public their doubts about the F.B.I. and Justice Department. But the possible fallout has everything to do with the special counsel.,The New York Times,briefing,https://www.nytimes.com/2018/02/01/podcasts/the-daily/secret-memo-mueller-russia-investigation.html,417
5a73015c10f40f00018beef7,By MARGOT SANGER-KATZ,article,"Employer Health System: Flawed, but Innovative","['Health Insurance and Managed Care', 'Innovation', 'Labor and Jobs', 'Amazon.com Inc', 'Berkshire Hathaway Inc', 'JPMorgan Chase & Company']",68,Upshot,4,2018-02-01 12:00:22,Unknown,"Everyone likes to complain about our company-based system, but there have been real examples of innovation.",The New York Times,News,https://www.nytimes.com/2018/02/01/upshot/employer-health-insurance-amazon-berkshire-hathaway.html,976
5a7309a610f40f00018bef1b,By CAROLYN ALI,article,Alone With My Husband’s Secret,"['Mental Health and Disorders', 'Depression (Mental)', 'Families and Family Life']",66,Well,0,2018-02-01 12:35:46,Mind,"As his world became smaller with depression, so did mine.",The New York Times,News,https://www.nytimes.com/2018/02/01/well/mind/depression-mental-illness-stigma.html,1113
5a730c8b10f40f00018bef28,By THOMAS KAPLAN and PETER BAKER,article,"In Talk to Republicans, President Puts Blame on Democrats","['Trump, Donald J', 'United States Politics and Government', 'Immigration and Emigration', 'Deferred Action for Childhood Arrivals', 'House of Representatives', 'Senate', 'Democratic Party', 'Republican Party']",68,Washington,14,2018-02-01 12:48:07,Politics,"In a speech and an early-morning Twitter post, Mr. Trump faulted the opposition for not compromising to protect younger undocumented immigrants.",The New York Times,News,https://www.nytimes.com/2018/02/01/us/politics/trump-immigration-republicans-congress.html,1144
5a730ce210f40f00018bef2b,By BEN CASSELMAN,article,Making Sense of the Jobs Report,"['Labor and Jobs', 'Unemployment', 'Bureau of Labor Statistics', 'News and News Media', 'United States Economy']",68,Insider,2,2018-02-01 12:49:33,Unknown,"With monthly employment data, the reporter’s mission is to find the larger story in numbers that can lend themselves to diverging interpretations.",The New York Times,News,https://www.nytimes.com/2018/02/01/insider/insider-jobs-report.html,896
5a73152810f40f00018bef45,"By ADAM NAGOURNEY, JULIE TURKEWITZ and JOSE A. DEL REAL",article,Unknown,[],66,National,0,2018-02-01 13:24:51,Unknown,"Thursday: Readers respond to our Los Angeles piece, marijuana convictions are cleared, and what the president missed on MS-13.",The New York Times,briefing,https://www.nytimes.com/2018/02/01/us/california-today-readers-respond-to-our-los-angeles-coverage.html,1293
5a731db410f40f00018bef65,By STEFANOS CHEN,article,Homes for Sale in Brooklyn and Manhattan,"['Real Estate and Housing (Residential)', 'Sutton Place (Manhattan, NY)', 'Carnegie Hill (Manhattan, NY)', 'Bay Ridge (Brooklyn, NY)']",68,RealEstate,0,2018-02-01 14:01:19,Unknown,"This week’s listings are in Sutton Place, Carnegie Hill and Bay Ridge, Brooklyn.",The New York Times,News,https://www.nytimes.com/2018/02/01/realestate/homes-for-sale-in-chelsea-carnegie-hill-and-bay-ridge-brooklyn.html,98
5a731dcf10f40f00018bef68,Reported by JILL P. CAPUZZO and MARCELLE SUSSMAN FISCHLER,article,Homes for Sale in New York and New Jersey,"['Real Estate and Housing (Residential)', 'Union City (NJ)', 'Garden City (NY)']",68,RealEstate,0,2018-02-01 14:01:47,Unknown,"This week’s properties include a two-bedroom loft in Union City, N.J., and a four-bedroom house in Garden City, N.Y.",The New York Times,News,https://www.nytimes.com/2018/02/01/realestate/homes-for-sale-in-garden-city-new-york-and-union-city-new-jersey.html,104
5a7326ab10f40f00018bef7f,By SOPAN DEB and ROBIN POGREBIN,article,A Museum’s Approach to an Accused Artist,"['Art', 'Museums', 'Close, Chuck', 'Sexual Harassment', 'Pennsylvania Academy of the Fine Arts', 'Sulkowicz, Emma', 'Metropolitan Museum of Art', 'Museum of Modern Art']",67,Weekend,22,2018-02-01 14:39:36,Art & Design,"The Pennsylvania Academy of the Fine Arts will keep its Chuck Close exhibition, but will add a concurrent gallery examining gender power dynamics.",The New York Times,News,https://www.nytimes.com/2018/02/01/arts/design/museums-chuck-close-performance-artist.html,765
5a7335a210f40f00018befb3,By NICHOLAS FANDOS and ADAM GOLDMAN,article,Trump Is Poised To Back Release Of a G.O.P. Memo,"['United States Politics and Government', 'Trump, Donald J', 'Federal Bureau of Investigation', 'Espionage and Intelligence Services', 'Surveillance of Citizens by Government', 'Foreign Intelligence Surveillance Court', 'Justice Department', 'Nunes, Devin G', 'House of Representatives', 'Senate', 'Republican Party', 'Democratic Party', 'House Committee on Intelligence', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Special Prosecutors (Independent Counsel)', 'Mueller, Robert S III']",67,Washington,1,2018-02-01 15:43:26,Politics,"The president’s decision not to object to the disclosure of the document pits him against some of his top law enforcement officials, who warned that releasing it put national security at risk.",The New York Times,News,https://www.nytimes.com/2018/02/01/us/politics/republicans-secret-memo-nunes.html,1517
5a73378b10f40f00018befbb,By AMY QIN,article,Protecting an Olympics Held in North Korea’s Nuclear Shadow,"['Olympic Games (2018)', 'Cyberwarfare and Defense', 'Kim Jong-un', 'Pyeongchang (South Korea)', 'North Korea', 'Defense and Military Forces', 'South Korea']",67,Foreign,8,2018-02-01 15:51:34,Asia Pacific,"Worries have subsided since a détente between the two Koreas, but the North remains an unpredictable factor in security arrangements for the Games.",The New York Times,News,https://www.nytimes.com/2018/02/01/world/asia/olympics-north-korea-security.html,1277
5a7340ea10f40f00018befe2,By ERIC ASIMOV,article,Grapes Often Need Wiggle Room,"['Wines', 'Grapes', 'Labeling and Labels (Product)', 'California']",68,Dining,4,2018-02-01 16:31:33,"Wine, Beer & Cocktails",Sometimes a blend makes a more complete wine than a single variety can. But it may run counter to consumer expectations.,The New York Times,News,https://www.nytimes.com/2018/02/01/dining/drinks/wine-school-california-grenache.html,1406
5a73413410f40f00018befe3,By ERIC ASIMOV,article,Check Out Small Producers,"['Wines', 'Bordeaux (France)', 'Chateau le Puy Winery (Bordeaux, France)']",68,Dining,4,2018-02-01 16:32:47,"Wine, Beer & Cocktails","Despite its pricey image, Bordeaux is fertile ground for good values. These bottles often come from small producers in underappreciated areas.",The New York Times,News,https://www.nytimes.com/2018/02/01/dining/drinks/wine-school-value-bordeaux.html,436
5a73430510f40f00018befef,By TARA DESCHAMPS,article,Homes for Sale in Toronto,"['Real Estate and Housing (Residential)', 'Toronto (Ontario)']",68,RealEstate,0,2018-02-01 16:40:33,Unknown,This week we visited condos in the Entertainment District and in the Queen’s Quay area.,The New York Times,News,https://www.nytimes.com/2018/02/01/realestate/homes-for-sale-in-toronto.html,157
5a734b9110f40f00018bf011,By LINDY WEST,article,I Quit Twitter and It Feels Great,"['Twitter', 'Cyberharassment', 'Computers and the Internet', 'Social Media', 'United States Politics and Government', 'Trump, Donald J', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Nuclear Weapons']",68,OpEd,0,2018-02-01 17:17:01,Unknown,"I don’t wake up with a pit in my stomach every day, dreading what horrors accrued in my phone overnight.",The New York Times,Op-Ed,https://www.nytimes.com/2018/02/01/opinion/quitting-twitter-lindy-west.html,1249
5a73511510f40f00018bf02b,By LIGAYA MISHAN,article,Nostalgia for Liberia Fills the Menu,"['Serengeti Kitchen (Manhattan, NY, Restaurant)', 'Caranda-Martin, Doughba III', 'East Harlem (Manhattan, NY)']",68,Dining,7,2018-02-01 17:40:32,Unknown,Nostalgia runs strong for Liberia and the chef Doughba Caranda-Martin III’s memories of life on his grandmother’s farm at this pan-African restaurant.,The New York Times,Review,https://www.nytimes.com/2018/02/01/dining/serengeti-kitchen-review.html,782
5a7352fa10f40f00018bf032,By CEYLAN YEGINSU,article,Track Hands Of Workers? Amazon Has Patents for It,"['Amazon.com Inc', 'Labor and Jobs', 'Inventions and Patents', 'Privacy', 'Workplace Environment', 'Science and Technology']",68,Business,3,2018-02-01 17:48:38,Unknown,"The e-commerce giant has won two patents for a tracking technology that can nudge a human hand in the right direction — toward a warehouse bin, say.",The New York Times,News,https://www.nytimes.com/2018/02/01/technology/amazon-wristband-tracking-privacy.html,761
5a7356e410f40f00018bf049,By MARK LEIBOVICH,article,"After a Long Season’s Bumpy Ride, the N.F.L. Looks for a Smooth Landing","['Football', 'National Football League', 'Goodell, Roger', 'Kaepernick, Colin', 'Trump, Donald J', 'United States National Anthem Protests (2016- )', 'Blank, Arthur M', 'Kraft, Robert K', 'Atlanta Falcons', 'New England Patriots', 'Jones, Jerry', 'Dallas Cowboys']",68,Sports,4,2018-02-01 18:05:17,Pro Football,"A year of protests, backlash and presidential interference has exposed fault lines between the league’s players and its management — and even between the team owners themselves.",The New York Times,News,https://www.nytimes.com/2018/02/01/magazine/where-does-the-nfl-go-after-a-season-of-division.html,5971
5a735b9810f40f00018bf054,By BESHA RODELL,article,"Review: Cav’s Steakhouse on the Gold Coast, Queensland","['Restaurants', ""Cav's Steakhouse (Gold Coast, Australia, Restaurant)"", 'Gold Coast (Australia)']",68,Dining,0,2018-02-01 18:25:24,Unknown,The restaurant predates Outback Steakhouse and provides a retro taste of Australia’s dining history.,The New York Times,Review,https://www.nytimes.com/2018/02/01/dining/cavs-steakhouse-review-gold-coast-australia.html,1005
5a73670f10f40f00018bf07a,By EMILY FLITTER,article,"In Settlements, A Silver Lining For Big Banks","['Banking and Financial Institutions', 'Regulation and Deregulation of Industry', 'Commodity Futures Trading Commission', 'Warren, Elizabeth', 'Deutsche Bank AG', 'HSBC Holdings PLC.', 'UBS AG', 'Securities and Exchange Commission']",68,Business,1,2018-02-01 19:14:19,Unknown,"Deutsche Bank, HSBC and UBS were punished for market manipulation this week — and tucked into the punishment was a single sentence that could pay big dividends for the banking industry.",The New York Times,News,https://www.nytimes.com/2018/02/01/business/banks-settlements-waiver-cftc-sec.html,928
5a736f6410f40f00018bf092,By ERICA L. GREEN,article,"Protected For Now, Teachers Await Fate","['Education (K-12)', 'Teachers and School Employees', 'Illegal Immigration', 'Deferred Action for Childhood Arrivals', 'Immigration and Emigration', 'National Education Assn', 'Trump, Donald J', 'United States Politics and Government']",68,Washington,14,2018-02-01 19:49:50,Politics,"About 9,000 unauthorized immigrants protected under DACA work in the nation’s schools. But as the program’s fate has become uncertain, so has theirs.",The New York Times,News,https://www.nytimes.com/2018/02/01/us/politics/daca-teachers-trump.html,1194
5a73757c10f40f00018bf0a8,By MEGAN SPECIA,article,‘Deep Scars’  To Historic Site In South Peru,"['Nazca Lines (Peru)', 'Historic Buildings and Sites', 'World Heritage Sites', 'Vigo, Jainer Jesus Flores', 'Greenpeace', 'United Nations', 'Lima (Peru)', 'Archaeology and Anthropology', 'vis-multimedia']",67,Foreign,6,2018-02-01 20:15:51,Americas,"The Nazca Lines, scratched into a plain south of Lima, are the world’s best-known example of geoglyphs. The damage was significant, but it can be repaired.",The New York Times,News,https://www.nytimes.com/2018/02/01/world/americas/perus-nazca-lines-damaged.html,431
5a73793710f40f00018bf0b3,By KAREN WEINTRAUB,article,How Childhood Trauma Can Affect Your Long-Term Health,"['Children and Childhood', 'Anxiety and Stress', 'Domestic Violence', 'Mental Health and Disorders', 'Sex Crimes']",66,Well,0,2018-02-01 20:31:46,Mind,"In “The Deepest Well,” Dr. Nadine Burke Harris explores how adverse childhood events can have repercussions years or decades later.",The New York Times,News,https://www.nytimes.com/2018/02/01/well/mind/how-childhood-trauma-can-affect-your-long-term-health.html,1174
5a737aa110f40f00018bf0b6,By MITCH SMITH,article,"At Illinois, a Sports Mascot, and a Controversy, That Just Won’t Go Away","['College Athletics', 'University of Illinois', 'Native Americans', 'Mascots', 'Baseball', 'Cleveland Indians', 'Discrimination']",66,National,13,2018-02-01 20:37:49,Unknown,"The Cleveland Indians are retiring “Chief Wahoo,” but the debate is far from over if other institutions, like the University of Illinois, are a guide.",The New York Times,News,https://www.nytimes.com/2018/02/01/us/native-americans-sports-mascots-illinois.html,1099
5a737afa10f40f00018bf0b7,By WILL WILKINSON,article,The Tax Act Could Turn  Texas Blue,"['Tax Cuts and Jobs Act (2017)', 'Tax Credits, Deductions and Exemptions', 'United States Politics and Government', 'Trump, Donald J', 'Democratic Party', 'Republican Party', 'States (US)']",68,OpEd,2,2018-02-01 20:39:18,Sunday Review,More-expensive cities might be driving young Democrats to affordable right-leaning states.,The New York Times,Op-Ed,https://www.nytimes.com/2018/02/01/opinion/sunday/republican-taxes-texas-blue.html,1103
5a737cdd10f40f00018bf0be,By KATE TAYLOR,article,"Fed Up With Failure, State Gives School District an Ultimatum","['Education (K-12)', 'Hempstead (NY)', 'Hispanic-Americans', 'Blacks', 'Graduation Rates', 'Teachers and School Employees', 'Education Department (NYS)', 'Elia, MaryEllen (1948- )']",68,Metro,1,2018-02-01 20:47:19,Unknown,"For decades, the Hempstead schools have been marked by corruption, political infighting and low performance. Now leaders face a deadline for change.",The New York Times,News,https://www.nytimes.com/2018/02/01/nyregion/hempstead-failed-schools-will-the-state-step-in.html,1671
